##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	I062.003.WES.Tumor_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70723671
Total Bases	7.1 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.979986078494143	33.0	31.0	34.0	30.0	34.0
2	32.2566647028263	34.0	31.0	34.0	30.0	34.0
3	31.758486221678172	34.0	31.0	34.0	28.0	34.0
4	35.57493040767072	37.0	35.0	37.0	33.0	37.0
5	35.80423271580459	37.0	35.0	37.0	33.0	37.0
6	35.76852659415827	37.0	35.0	37.0	33.0	37.0
7	35.7757524351359	37.0	35.0	37.0	33.0	37.0
8	35.76302799666607	37.0	35.0	37.0	33.0	37.0
9	37.454673824835815	39.0	37.0	39.0	34.0	39.0
10-11	37.465711218525406	39.0	37.0	39.0	34.0	39.0
12-13	37.45088633761672	39.0	37.0	39.0	34.0	39.0
14-15	38.830703506609545	40.0	38.0	41.0	34.0	41.0
16-17	38.83142564107001	40.0	38.0	41.0	34.0	41.0
18-19	38.840804360961414	40.0	38.0	41.0	34.0	41.0
20-21	38.82298043465532	40.0	38.0	41.0	34.0	41.0
22-23	38.80885604057515	40.0	38.0	41.0	34.0	41.0
24-25	38.79574766417315	40.0	38.0	41.0	34.0	41.0
26-27	38.7229592479723	40.0	38.0	41.0	34.0	41.0
28-29	38.65855393733733	40.0	38.0	41.0	34.0	41.0
30-31	38.599743429607884	40.0	38.0	41.0	34.0	41.0
32-33	38.56576332130723	40.0	38.0	41.0	34.0	41.0
34-35	38.511616499658224	40.0	38.0	41.0	34.0	41.0
36-37	38.46475758448681	40.0	38.0	41.0	34.0	41.0
38-39	38.39861430552721	40.0	38.0	41.0	33.5	41.0
40-41	38.3277291629842	40.0	38.0	41.0	33.0	41.0
42-43	38.23804767572091	40.0	37.5	41.0	33.0	41.0
44-45	38.1549722086683	40.0	37.0	41.0	33.0	41.0
46-47	38.061747678510635	40.0	37.0	41.0	33.0	41.0
48-49	37.95694092293371	40.0	37.0	41.0	33.0	41.0
50-51	37.839447509731215	40.0	36.5	41.0	33.0	41.0
52-53	37.708949016518105	40.0	36.0	41.0	33.0	41.0
54-55	37.54224935524063	39.5	36.0	41.0	32.0	41.0
56-57	37.38110787546647	39.0	35.0	41.0	32.0	41.0
58-59	37.195926516597254	39.0	35.0	41.0	32.0	41.0
60-61	36.968238710346355	39.0	35.0	41.0	31.0	41.0
62-63	36.731028986037785	38.0	35.0	41.0	31.0	41.0
64-65	36.471903353263436	37.5	35.0	40.5	31.0	41.0
66-67	36.181562450286265	37.0	35.0	40.0	31.0	41.0
68-69	35.90021863401293	36.5	35.0	39.5	30.5	41.0
70-71	35.57929138746205	36.0	34.5	39.0	30.0	41.0
72-73	35.27736280827391	35.5	34.0	39.0	30.0	41.0
74-75	34.96198603717842	35.0	34.0	38.5	30.0	40.0
76-77	34.67376010501491	35.0	34.0	37.0	30.0	39.0
78-79	34.3827364886079	35.0	34.0	37.0	29.5	39.0
80-81	34.10493313476332	35.0	34.0	36.0	29.0	39.0
82-83	33.887780153550004	35.0	34.0	36.0	29.0	37.0
84-85	33.69142860952452	35.0	34.0	35.5	29.0	37.0
86-87	33.52220425605452	35.0	34.0	35.0	29.0	36.5
88-89	33.38357675183462	35.0	34.0	35.0	29.0	36.0
90-91	33.26136199858743	35.0	33.0	35.0	29.0	36.0
92-93	33.156112576509216	35.0	33.0	35.0	29.0	36.0
94-95	33.08629433277014	35.0	33.0	35.0	29.0	35.5
96-97	33.029816120546116	35.0	33.0	35.0	29.0	35.0
98-99	32.98327845566727	35.0	33.0	35.0	29.0	35.0
100-101	32.433243623623554	34.5	32.0	35.0	27.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	28-29	0.4275224675487408
1103	30-31	0.42841629828913597
1103	32-33	0.3981572000543778
1103	34-35	0.40495078149466224
1103	36-37	0.40184799821746253
1103	38-39	0.4302058408228291
1103	40-41	0.45201698373659127
1103	42-43	0.43618266605813716
1103	44-45	0.4509596852348636
1103	46-47	0.43223912907298967
1103	48-49	0.4406218721950381
1103	50-51	0.44103468017782177
1103	52-53	0.40457610129551114
1103	54-55	0.4212995175057941
1103	56-57	0.3919024907059594
1103	58-59	0.3857556028692528
1103	60-61	0.3978373583021053
1103	62-63	0.38957961100446425
1103	64-65	0.37742424217529447
1103	66-67	0.3967416888951121
1103	68-69	0.3986760868538042
1103	70-71	0.39735650573670256
1103	72-73	0.38737567606306555
1103	74-75	0.38770525669993106
1103	76-77	0.348005254037588
1103	78-79	0.3684237850369385
1103	80-81	0.3496360666503122
1103	82-83	0.34803893317616286
1103	84-85	0.3569909388640724
1103	86-87	0.36063553017474703
1103	88-89	0.34518862705574094
1103	90-91	0.35213724057299345
1103	92-93	0.3820477966567637
1103	94-95	0.35540232046739106
1103	96-97	0.3727554295569746
1103	98-99	0.372568218883238
1103	100-101	0.3762374546789289
1104	1	0.34670717750359614
1104	2	0.3006101257516036
1104	3	0.8148749438013354
1104	4	0.4890380172246154
1104	5	0.2903814784261485
1104	6	0.25196203659025684
1104	7	0.24198316902710104
1104	8	0.23701581628714052
1104	9	0.28964095331021866
1104	10-11	0.2952984691931988
1104	12-13	0.2728478898417279
1104	14-15	0.33259975757557925
1104	16-17	0.332627448571543
1104	18-19	0.34332820052915025
1104	20-21	0.3781478929745603
1104	22-23	0.3687486861043041
1104	24-25	0.3491839100142329
1104	26-27	0.3479830900852434
1104	28-29	0.34325897782202475
1104	30-31	0.37601796910921337
1104	32-33	0.3491467728020936
1104	34-35	0.3587599484248969
1104	36-37	0.36622813084393613
1104	38-39	0.37852473712504064
1104	40-41	0.38535777720905173
1104	42-43	0.3945342810837289
1104	44-45	0.39746325200592736
1104	46-47	0.4023086973290688
1104	48-49	0.4012480699259555
1104	50-51	0.39714973308461765
1104	52-53	0.38095647624751194
1104	54-55	0.3364443329160025
1104	56-57	0.3542649540472169
1104	58-59	0.37182406022657943
1104	60-61	0.3864954528577229
1104	62-63	0.34797469996990316
1104	64-65	0.3302020837906525
1104	66-67	0.3316629090276493
1104	68-69	0.3177806101035898
1104	70-71	0.3760780170611824
1104	72-73	0.31089913709955397
1104	74-75	0.3038585723129472
1104	76-77	0.3227364000508288
1104	78-79	0.2882530729974775
1104	80-81	0.2888589977599594
1104	82-83	0.282603082151347
1104	84-85	0.2856539569615819
1104	86-87	0.2878303560808604
1104	88-89	0.2781403070979067
1104	90-91	0.23241272561893567
1104	92-93	0.2540572702557924
1104	94-95	0.26836968654470184
1104	96-97	0.2858796518695925
1104	98-99	0.2694572278176466
1104	100-101	0.2798251046359468
1105	1	0.29284080633424736
1105	2	0.2769499057240026
1105	3	0.817190996857569
1105	4	0.4559465256231334
1105	5	0.2725090731919906
1105	6	0.20308828930699718
1105	7	0.18671760869282394
1105	8	0.17291610272744862
1105	9	0.26151536949247856
1105	10-11	0.2241373520585057
1105	12-13	0.24617535756369335
1105	14-15	0.28274720533088527
1105	16-17	0.2865303869630651
1105	18-19	0.2882497035774634
1105	20-21	0.2915313153720831
1105	22-23	0.26679333581639497
1105	24-25	0.2657091262783027
1105	26-27	0.29209420603924485
1105	28-29	0.29963956979883477
1105	30-31	0.2601812763833067
1105	32-33	0.28004353937033244
1105	34-35	0.3065207454551171
1105	36-37	0.2776588951958274
1105	38-39	0.30632729297443717
1105	40-41	0.3052087991768744
1105	42-43	0.3005594667086129
1105	44-45	0.31881132050462213
1105	46-47	0.3120066714939256
1105	48-49	0.3001161731602764
1105	50-51	0.3292520335872382
1105	52-53	0.3199039578041152
1105	54-55	0.3205207905006162
1105	56-57	0.31542430990305803
1105	58-59	0.3042230939069057
